system,id,bucket,reason,should_be_rejected,outcome,error_class,error_msg
pg_naive,0,epistemic_kind,inference_into_obs_slot,True,missed,,
pg_naive,1,epistemic_kind,inference_into_obs_slot,True,missed,,
pg_naive,2,epistemic_kind,inference_into_obs_slot,True,missed,,
pg_naive,3,epistemic_kind,inference_into_obs_slot,True,missed,,
pg_naive,4,epistemic_kind,inference_into_obs_slot,True,missed,,
pg_naive,5,epistemic_kind,derived_no_sources,True,missed,,
pg_naive,6,epistemic_kind,derived_no_sources,True,missed,,
pg_naive,7,epistemic_kind,derived_no_sources,True,missed,,
pg_naive,8,epistemic_kind,derived_no_sources,True,missed,,
pg_naive,9,epistemic_kind,observation_with_sources,True,missed,,
pg_naive,10,epistemic_kind,observation_with_sources,True,missed,,
pg_naive,11,epistemic_kind,observation_with_sources,True,missed,,
pg_naive,12,epistemic_kind,observation_with_sources,True,missed,,
pg_naive,13,epistemic_kind,inference_certain,True,missed,,
pg_naive,14,epistemic_kind,inference_certain,True,missed,,
pg_naive,15,epistemic_kind,inference_certain,True,missed,,
pg_naive,16,epistemic_kind,inference_certain,True,missed,,
pg_naive,17,epistemic_kind,obs_into_inference_slot,True,missed,,
pg_naive,18,epistemic_kind,obs_into_inference_slot,True,missed,,
pg_naive,19,epistemic_kind,obs_into_inference_slot,True,missed,,
pg_naive,20,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,21,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,22,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,23,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,24,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,25,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,26,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,27,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,28,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,29,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,30,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,31,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,32,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,33,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,34,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,35,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,36,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,37,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,38,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,39,conflict,contradicting_overlap_reject_policy,True,missed,,
pg_naive,40,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,41,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,42,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,43,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,44,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,45,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,46,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,47,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,48,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,49,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,50,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,51,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,52,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,53,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,54,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,55,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,56,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,57,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,58,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,59,confidence,joint_confidence_target,False,landed_ok,,
pg_naive,60,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,61,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,62,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,63,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,64,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,65,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,66,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,67,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
pg_naive,68,bitemporal,overlap_diff_value_same_entity_attr,True,missed,,
